created_at,referencia_credito,datos_garantia.fecha_desembolso,datos_garantia.codigo_producto
2023-10-31 16:31:02.915,21243796,2023-10-31 12:55:44,489
2023-10-31 16:31:04.059,92268878,2023-10-31 12:55:44,489
2023-10-31 16:31:04.866,17392873,2023-10-31 12:55:44,489
2023-10-31 16:31:05.990,62254958,2023-10-31 12:55:44,489
2023-10-31 16:31:07.048,99297318,2023-10-31 12:55:44,489
2023-10-31 16:31:07.956,56325648,2023-10-31 12:55:44,489
2023-10-31 16:31:08.896,22157483,2023-10-31 12:55:44,489
2023-10-31 16:31:09.961,85313595,2023-10-31 12:55:44,489
2023-10-31 16:31:10.752,33524794,2023-10-31 12:55:44,489
2023-10-31 16:31:11.808,23572293,2023-10-31 12:55:44,489
2023-10-31 16:31:12.734,41126115,2023-10-31 12:55:44,489
2023-10-31 16:31:13.631,89932794,2023-10-31 12:55:45,489
2023-10-31 16:31:14.501,82167514,2023-10-31 12:55:45,489
2023-10-31 16:31:15.560,88687429,2023-10-31 12:55:45,489
2023-10-31 16:31:16.473,55725656,2023-10-31 12:55:45,489
2023-10-31 16:31:17.362,61151743,2023-10-31 12:55:45,489
2023-10-31 16:31:18.234,69559361,2023-10-31 12:55:45,489
2023-10-31 16:31:19.150,18944759,2023-10-31 12:55:45,489
2023-10-31 16:31:20.068,35876464,2023-10-31 12:55:45,489
2023-10-31 16:31:21.124,14797581,2023-10-31 12:55:45,489
2023-10-31 16:31:21.932,79735498,2023-10-31 12:55:45,489
2023-10-31 16:31:23.039,45466685,2023-10-31 12:55:45,489
2023-10-31 16:31:23.985,94266354,2023-10-31 12:55:45,489
2023-10-31 16:31:25.041,39241885,2023-10-31 12:55:45,489
2023-10-31 16:31:25.840,26623975,2023-10-31 12:55:45,489
2023-10-31 16:31:26.660,71996146,2023-10-31 12:55:45,489
2023-10-31 16:31:27.762,45142178,2023-10-31 12:55:45,489
2023-10-31 16:31:28.856,31244323,2023-10-31 12:55:45,489
2023-10-31 16:31:29.793,63215753,2023-10-31 12:55:45,489
2023-10-31 16:31:30.723,68246944,2023-10-31 12:55:46,489
2023-10-31 16:31:31.532,43273851,2023-10-31 12:55:46,489
2023-10-31 16:31:32.398,87484866,2023-10-31 12:55:46,489
2023-10-31 16:31:34.553,11345844,2023-10-31 12:55:46,489
2023-10-31 16:31:35.615,22155226,2023-10-31 12:55:46,489
2023-10-31 16:31:36.715,26213425,2023-10-31 12:55:46,489
2023-10-31 16:31:38.529,31215276,2023-10-31 12:55:46,489
2023-10-31 16:31:41.153,86763416,2023-10-31 12:55:46,489
2023-10-31 16:31:42.018,58549936,2023-10-31 12:55:46,489
2023-10-31 16:31:43.288,72414174,2023-10-31 12:55:46,489
2023-10-31 16:31:44.141,28768676,2023-10-31 12:55:46,489
2023-10-31 16:31:44.995,16697864,2023-10-31 12:55:46,489
2023-10-31 16:31:46.006,32261472,2023-10-31 12:55:46,489
2023-10-31 16:31:46.975,32178363,2023-10-31 12:55:47,489
2023-10-31 16:31:47.892,69273298,2023-10-31 12:55:47,489
2023-10-31 16:31:49.024,48936987,2023-10-31 12:55:47,489
2023-10-31 16:31:49.895,21256853,2023-10-31 12:55:47,489
2023-10-31 16:31:50.717,94177631,2023-10-31 12:55:47,489
2023-10-31 16:31:51.515,16853632,2023-10-31 12:55:47,489
2023-10-31 16:31:52.646,76363698,2023-10-31 12:55:47,489
2023-10-31 16:31:53.682,97271986,2023-10-31 12:55:47,489
2023-10-31 16:31:54.506,11381378,2023-10-31 12:55:47,489
2023-10-31 16:31:55.694,63187147,2023-10-31 12:55:47,489
2023-10-31 16:31:56.484,96996182,2023-10-31 12:55:47,489
2023-10-31 16:31:57.279,34541432,2023-10-31 12:55:47,489
2023-10-31 16:31:58.063,53654948,2023-10-31 12:55:47,489
2023-10-31 16:31:59.113,34148321,2023-10-31 12:55:47,489
2023-10-31 16:32:00.054,84974634,2023-10-31 12:55:47,489
2023-10-31 16:32:01.064,52365355,2023-10-31 12:55:47,489
2023-10-31 16:32:02.106,59626293,2023-10-31 12:55:47,489
2023-10-31 16:32:02.956,94913392,2023-10-31 12:55:47,489
2023-10-31 16:32:03.903,78163649,2023-10-31 12:55:47,489
2023-10-31 16:32:04.975,89947971,2023-10-31 12:55:47,489
2023-10-31 16:32:05.982,99519964,2023-10-31 12:55:48,489
2023-10-31 16:32:06.796,18681558,2023-10-31 12:55:48,489
2023-10-31 16:32:07.793,28184429,2023-10-31 12:55:48,489
2023-10-31 16:32:08.909,27897355,2023-10-31 12:55:48,489
2023-10-31 16:32:09.801,48797256,2023-10-31 12:55:48,489
2023-10-31 16:32:10.859,52952759,2023-10-31 12:55:48,489
2023-10-31 16:32:12.736,28899187,2023-10-31 12:55:48,489
2023-10-31 16:32:13.673,84461965,2023-10-31 12:55:48,489
2023-10-31 16:32:14.896,78551758,2023-10-31 12:55:48,489
2023-10-31 16:32:15.659,46891499,2023-10-31 12:55:48,489
2023-10-31 16:32:16.556,19536915,2023-10-31 12:55:48,489
2023-10-31 16:32:17.708,76919285,2023-10-31 12:55:48,489
2023-10-31 16:32:18.650,32341512,2023-10-31 12:55:48,489
2023-10-31 16:32:19.624,82379748,2023-10-31 12:55:48,489
2023-10-31 16:32:20.494,73114263,2023-10-31 12:55:48,489
2023-10-31 16:32:21.571,17469728,2023-10-31 12:55:48,489
2023-10-31 16:32:22.547,99346725,2023-10-31 12:55:48,489
2023-10-31 16:32:23.430,44872476,2023-10-31 12:55:48,489
2023-10-31 16:32:24.506,68666744,2023-10-31 12:55:48,489
2023-10-31 16:32:25.442,31431158,2023-10-31 12:55:48,489
2023-10-31 16:32:26.301,15976373,2023-10-31 12:55:48,489
2023-10-31 16:32:27.419,73115156,2023-10-31 12:55:49,489
2023-10-31 16:32:28.316,81771688,2023-10-31 12:55:49,489
2023-10-31 16:32:29.278,47127371,2023-10-31 12:55:49,489
2023-10-31 16:32:30.246,15742473,2023-10-31 12:55:49,489
2023-10-31 16:32:31.134,19575987,2023-10-31 12:55:49,489
2023-10-31 16:32:32.232,39662537,2023-10-31 12:55:49,489
2023-10-31 16:32:33.098,96463523,2023-10-31 12:55:49,489
2023-10-31 16:32:33.959,88962631,2023-10-31 12:55:49,489
2023-10-31 16:32:34.994,21744635,2023-10-31 12:55:49,489
2023-10-31 16:32:36.403,85742815,2023-10-31 12:55:49,489
2023-10-31 16:32:37.542,26177675,2023-10-31 12:55:49,489
2023-10-31 16:32:38.624,72964134,2023-10-31 12:55:49,489
2023-10-31 16:32:39.492,43754343,2023-10-31 12:55:49,489
2023-10-31 16:32:40.323,31474346,2023-10-31 12:55:49,489
2023-10-31 16:32:41.371,13442146,2023-10-31 12:55:49,489
2023-10-31 16:32:42.239,88953636,2023-10-31 12:55:49,489
2023-10-31 16:32:43.371,79352755,2023-10-31 12:55:49,489
2023-10-31 16:32:44.463,14449154,2023-10-31 12:55:49,489
