Referencia credito,FGA,Agosto,fact Septiembre,Dif,Comentatario,fecha-corte
18787322,"24,157",-23349, - ,808,Dif YA facturada y pagada FGA  Agosto,2023-08-31
76433661,"21,896",-20278, - ,"1,618",Dif YA facturada y pagada FGA  Agosto,2023-08-31
44975498,"17,850",-15557, - ,"2,293",Dif YA facturada y pagada FGA  Agosto,2023-08-31
44815552,"22,610",-22432, - ,178,Dif YA facturada y pagada FGA  Agosto,2023-08-31
63929921,"19,159",-17343, - ,"1,816",Dif YA facturada y pagada FGA  Agosto,2023-08-31
73478229,"19,635",-18728, - ,907,Dif YA facturada y pagada FGA  Agosto,2023-08-31
17395547,"22,372",-19772, - ,"2,600",Dif YA facturada y pagada FGA  Agosto,2023-08-31
91787344,"19,040",-18399, - ,641,Dif YA facturada y pagada FGA  Agosto,2023-08-31
24433186,"20,944",-19472, - ,"1,472",Dif YA facturada y pagada FGA  Agosto,2023-08-31
98296141,"20,825",-20337, - ,488,Dif YA facturada y pagada FGA  Agosto,2023-08-31
94183472,"20,468",-18741, - ,"1,727",Dif YA facturada y pagada FGA  Agosto,2023-08-31
28733137,"19,635",-17459, - ,"2,176",Dif YA facturada y pagada FGA  Agosto,2023-08-31
54883336,"21,063",-20252, - ,811,Dif YA facturada y pagada FGA  Agosto,2023-08-31
63882881,"19,040",-13343, - ,"5,697",Dif YA facturada y pagada FGA  Agosto,2023-08-31
46427651,"19,516",-17708, - ,"1,808",Dif YA facturada y pagada FGA  Agosto,2023-08-31
88572856,"17,493",-15602, - ,"1,891",Dif YA facturada y pagada FGA  Agosto,2023-08-31
99182581,"19,159",-18586, - ,573,Dif YA facturada y pagada FGA  Agosto,2023-08-31
22194847,"22,610",-18898, - ,"3,712",Dif YA facturada y pagada FGA  Agosto,2023-08-31
56745514,"21,658",-18463, - ,"3,195",Dif YA facturada y pagada FGA  Agosto,2023-08-31
74767762,"18,207",-14802, - ,"3,405",Dif YA facturada y pagada FGA  Agosto,2023-08-31
46638251,"18,326",-16469, - ,"1,857",Dif YA facturada y pagada FGA  Agosto,2023-08-31
97493695,"17,850",-12119, - ,"5,731",Dif YA facturada y pagada FGA  Agosto,2023-08-31
69187189,"23,205",-16777, - ,"6,428",Dif YA facturada y pagada FGA  Agosto,2023-08-31
19478928,"21,420",2142,"-21,420","2,142",Dif YA facturada y pagada FGA  Agosto,2023-08-31
47432487,"22,253",-19441, - ,"2,812",Dif YA facturada y pagada FGA  Agosto,2023-08-31
41319416,"14,280",-13253, - ,"1,027",Dif YA facturada y pagada FGA  Agosto,2023-08-31
95823343,"18,207",-17795, - ,412,Dif YA facturada y pagada FGA  Agosto,2023-08-31
15246793,"14,756",-10562, - ,"4,194",Dif YA facturada y pagada FGA  Agosto,2023-08-31
52778863,"19,635",-18999, - ,636,Dif YA facturada y pagada FGA  Agosto,2023-08-31
97112813,"16,660",-15967, - ,693,Dif YA facturada y pagada FGA  Agosto,2023-08-31
48797394,"17,136",-16803, - ,333,Dif YA facturada y pagada FGA  Agosto,2023-08-31
57931186,"20,230",-16877, - ,"3,353",Dif YA facturada y pagada FGA  Agosto,2023-08-31
86788216,"23,324",-20453, - ,"2,871",Dif YA facturada y pagada FGA  Agosto,2023-08-31
72517562,"19,278",-17708, - ,"1,570",Dif YA facturada y pagada FGA  Agosto,2023-08-31
56461263,"17,612",-17107, - ,505,Dif YA facturada y pagada FGA  Agosto,2023-08-31
22429818,"19,635",-15703, - ,"3,932",Dif YA facturada y pagada FGA  Agosto,2023-08-31
86133241,"17,850",-17583, - ,267,Dif YA facturada y pagada FGA  Agosto,2023-08-31
81298574,"23,324",-22077, - ,"1,247",Dif YA facturada y pagada FGA  Agosto,2023-08-31
95846244,"19,040",-18915, - ,125,Dif YA facturada y pagada FGA  Agosto,2023-08-31
82932323,"16,422",-15278, - ,"1,144",Dif YA facturada y pagada FGA  Agosto,2023-08-31
87756878,"19,040",-16917, - ,"2,123",Dif YA facturada y pagada FGA  Agosto,2023-08-31
44656334,"19,992",-19386, - ,606,Dif YA facturada y pagada FGA  Agosto,2023-08-31
32241437,"9,401",-7414, - ,"1,987",Dif YA facturada y pagada FGA  Agosto,2023-08-31
96715594,"24,157",-23591, - ,566,Dif YA facturada y pagada FGA  Agosto,2023-08-31
13598899,"18,445",-17211, - ,"1,234",Dif YA facturada y pagada FGA  Agosto,2023-08-31
66839536,"19,040",-18596, - ,444,Dif YA facturada y pagada FGA  Agosto,2023-08-31
18316543,"22,015",-19501, - ,"2,514",Dif YA facturada y pagada FGA  Agosto,2023-08-31
31816657,"19,040",-10917, - ,"8,123",Dif YA facturada y pagada FGA  Agosto,2023-08-31
78244521,"20,825",-19082, - ,"1,743",Dif YA facturada y pagada FGA  Agosto,2023-08-31
29825211,"20,468",-19496, - ,972,Dif YA facturada y pagada FGA  Agosto,2023-08-31
71241756,"17,374",-16326, - ,"1,048",Dif YA facturada y pagada FGA  Agosto,2023-08-31
71641359,"19,159",-17351, - ,"1,808",Dif YA facturada y pagada FGA  Agosto,2023-08-31
92222459,"22,491",-20590, - ,"1,901",Dif YA facturada y pagada FGA  Agosto,2023-08-31
43842665,"19,635",-19230, - ,405,Dif YA facturada y pagada FGA  Agosto,2023-08-31
12328383,"21,658",-21460, - ,198,Dif YA facturada y pagada FGA  Agosto,2023-08-31
23988458,"14,756",-13511, - ,"1,245",Dif YA facturada y pagada FGA  Agosto,2023-08-31
15946925,"11,186",-11043, - ,143,Dif YA facturada y pagada FGA  Agosto,2023-08-31
22459941,"17,850",-15387, - ,"2,463",Dif YA facturada y pagada FGA  Agosto,2023-08-31
83496539,"19,040",-18354, - ,686,Dif YA facturada y pagada FGA  Agosto,2023-08-31
41877342,"20,825",-20096, - ,729,Dif YA facturada y pagada FGA  Agosto,2023-08-31
66799381,"18,326",-18213, - ,113,Dif YA facturada y pagada FGA  Agosto,2023-08-31
98184891,"18,207",-16810, - ,"1,397",Dif YA facturada y pagada FGA  Agosto,2023-08-31
59427383,"20,825",-20514, - ,311,Dif YA facturada y pagada FGA  Agosto,2023-08-31
64725657,"14,994",-14819, - ,175,Dif YA facturada y pagada FGA  Agosto,2023-08-31
31725589,"18,326",-15228, - ,"3,098",Dif YA facturada y pagada FGA  Agosto,2023-08-31
95459994,"16,660",-15470, - ,"1,190",Dif YA facturada y pagada FGA  Agosto,2023-08-31
55821943,"22,610",-21672, - ,938,Dif YA facturada y pagada FGA  Agosto,2023-08-31
53667981,"21,896",-20266, - ,"1,630",Dif YA facturada y pagada FGA  Agosto,2023-08-31
38385429,"14,756",-14522, - ,234,Dif YA facturada y pagada FGA  Agosto,2023-08-31
95815279,"17,136",-16102, - ,"1,034",Dif YA facturada y pagada FGA  Agosto,2023-08-31
45913472,"23,205",-21023, - ,"2,182",Dif YA facturada y pagada FGA  Agosto,2023-08-31
33681865,"20,349",-20157, - ,192,Dif YA facturada y pagada FGA  Agosto,2023-08-31
85789221,"14,756",-7466, - ,"7,290",Dif YA facturada y pagada FGA  Agosto,2023-08-31
85844429,"14,518",-13041, - ,"1,477",Dif YA facturada y pagada FGA  Agosto,2023-08-31
21584372,"17,850",-17316, - ,534,Dif YA facturada y pagada FGA  Agosto,2023-08-31
78519446,"20,349",-18201, - ,"2,148",Dif YA facturada y pagada FGA  Agosto,2023-08-31
25163283,"21,896",-20041, - ,"1,855",Dif YA facturada y pagada FGA  Agosto,2023-08-31
56331896,"21,420",-18396, - ,"3,024",Dif YA facturada y pagada FGA  Agosto,2023-08-31
68855358,"20,230",-16359, - ,"3,871",Dif YA facturada y pagada FGA  Agosto,2023-08-31
57832167,"10,829",-8622, - ,"2,207",Dif YA facturada y pagada FGA  Agosto,2023-08-31
66359458,"19,516",-9758, - ,"9,758",Dif YA facturada y pagada FGA  Agosto,2023-08-31
19467955,"19,040",-18439, - ,601,Dif YA facturada y pagada FGA  Agosto,2023-08-31
78585683,"19,635",-18468, - ,"1,167",Dif YA facturada y pagada FGA  Agosto,2023-08-31
61432492,"21,420",-18651, - ,"2,769",Dif YA facturada y pagada FGA  Agosto,2023-08-31
31922644,"22,610",-19651, - ,"2,959",Dif YA facturada y pagada FGA  Agosto,2023-08-31
57896539,"9,758",-9085, - ,673,Dif YA facturada y pagada FGA  Agosto,2023-08-31
93887247,"16,184",-12961, - ,"3,223",Dif YA facturada y pagada FGA  Agosto,2023-08-31
73859797,"19,159",-17086, - ,"2,073",Dif YA facturada y pagada FGA  Agosto,2023-08-31
23171498,"19,040",-17347, - ,"1,693",Dif YA facturada y pagada FGA  Agosto,2023-08-31
73611847,"16,184",-8092, - ,"8,092",Dif YA facturada y pagada FGA  Agosto,2023-08-31
93767432,"22,372",-21553, - ,819,Dif YA facturada y pagada FGA  Agosto,2023-08-31
61955972,"22,372",-20551, - ,"1,821",Dif YA facturada y pagada FGA  Agosto,2023-08-31
71565559,"19,040",-17841, - ,"1,199",Dif YA facturada y pagada FGA  Agosto,2023-08-31
89328847,"19,635",-10210, - ,"9,425",Dif YA facturada y pagada FGA  Agosto,2023-08-31
83347342,"8,925",-8246, - ,679,Dif YA facturada y pagada FGA  Agosto,2023-08-31
15496624,"19,040",-18352, - ,688,Dif YA facturada y pagada FGA  Agosto,2023-08-31
21235947,"19,040",-16602, - ,"2,438",Dif YA facturada y pagada FGA  Agosto,2023-08-31
32345511,"16,422",-15907, - ,515,Dif YA facturada y pagada FGA  Agosto,2023-08-31
74157912,"19,992",-17715, - ,"2,277",Dif YA facturada y pagada FGA  Agosto,2023-08-31
83933959,"19,040",-17100, - ,"1,940",Dif YA facturada y pagada FGA  Agosto,2023-08-31
73144272,"23,324",-21594, - ,"1,730",Dif YA facturada y pagada FGA  Agosto,2023-08-31
77949442,"19,159",-17857, - ,"1,302",Dif YA facturada y pagada FGA  Agosto,2023-08-31
49282389,"14,518",-12278, - ,"2,240",Dif YA facturada y pagada FGA  Agosto,2023-08-31
