pagare,fecha_corte,valor_comision_reportado
65542383,2023-10-31,14720
71112338,2023-10-31,10370
25465362,2023-10-31,8096
85465829,2023-10-31,9660
73255597,2023-10-31,8096
61596494,2023-10-31,12512
36119745,2023-10-31,15088
49488279,2023-10-31,13800
29468841,2023-10-31,14628
46141339,2023-10-31,17388
22965788,2023-10-31,11960
76546192,2023-10-31,13800
39833793,2023-10-31,12328
32327913,2023-10-31,4800
87389514,2023-10-31,15300
14275673,2023-10-31,16284
63793549,2023-10-31,16560
98618837,2023-10-31,17204
22475637,2023-10-31,12328
88691562,2023-10-31,19600
19296855,2023-10-31,7268
47693157,2023-10-31,10120
47824816,2023-10-31,13800
82811975,2023-10-31,12144
92945594,2023-10-31,13800
96964643,2023-10-31,13800
45622485,2023-10-31,12512
78458821,2023-10-31,17388
26523828,2023-10-31,17500
27974918,2023-10-31,13800
89127556,2023-10-31,16800
61231736,2023-10-31,11040
98531421,2023-10-31,14200
38851173,2023-10-31,13200
95455198,2023-10-31,19228
66295114,2023-10-31,15456
41168734,2023-10-31,10880
67847988,2023-10-31,7268
85436238,2023-10-31,17480
35499421,2023-10-31,12000
16278834,2023-10-31,7268
83393973,2023-10-31,15000
87155158,2023-10-31,15180
42115119,2023-10-31,14600
91936983,2023-10-31,16192
74766114,2023-10-31,13800
44548317,2023-10-31,14904
86925196,2023-10-31,15456
21779669,2023-10-31,7820
52761769,2023-10-31,11224
46414737,2023-10-31,17296
82783562,2023-10-31,13800
39236815,2023-10-31,13800
93666443,2023-10-31,13248
66652425,2023-10-31,11040
99417293,2023-10-31,14628
39427149,2023-10-31,18032
26566885,2023-10-31,11776
68221451,2023-10-31,7176
38464124,2023-10-31,13248
78477964,2023-10-31,6503
47142455,2023-10-31,17000
49265296,2023-10-31,19800
93365278,2023-10-31,18216
89633318,2023-10-31,12200
53661791,2023-10-31,14720
11367595,2023-10-31,12880
69182582,2023-10-31,13800
71239353,2023-10-31,7360
26893154,2023-10-31,7700
63399195,2023-10-31,13515
97281217,2023-10-31,11776
32867433,2023-10-31,12144
26711213,2023-10-31,7176
72328229,2023-10-31,6440
18882687,2023-10-31,15180
73528578,2023-10-31,11776
32457364,2023-10-31,8075
17371331,2023-10-31,17500
89627925,2023-10-31,14260
43986488,2023-10-31,6800
43116727,2023-10-31,18400
63344759,2023-10-31,16800
98888859,2023-10-31,14025
21675367,2023-10-31,9568
96519755,2023-10-31,17388
88539721,2023-10-31,7395
73874737,2023-10-31,17020
67775255,2023-10-31,13248
42951851,2023-10-31,5888
28135535,2023-10-31,13685
44473474,2023-10-31,11592
12663483,2023-10-31,18032
48165334,2023-10-31,10400
16914155,2023-10-31,13800
29984116,2023-10-31,12800
16324352,2023-10-31,10400
94926955,2023-10-31,15456
88563618,2023-10-31,5915
94217214,2023-10-31,13800
77681614,2023-10-31,10400
72939732,2023-10-31,15300
97834267,2023-10-31,11224
49375574,2023-10-31,15000
59321762,2023-10-31,15088
66268954,2023-10-31,16008
76883412,2023-10-31,17664
